0,
1,652
2,652
3,652
4,652
5,652
6,652
7,652
8,652
9,652
10,652
11,652
12,652
13,652
14,652
15,2
16,652
17,652
18,652
19,652
20,652
21,652
22,652
23,652
24,652
25,652
26,652
27,652
28,652
29,652
30,652
31,652
32,652
33,652
34,652
35,652
36,652
37,652
38,652
39,652
40,652
41,643
42,651
43,650
44,650
45,651
46,651
47,650
48,650
49,642
50,637
51,612
52,600
53,603
54,611
55,614
56,612
57,574
58,565
59,543
60,36
61,36
62,36
63,31
64,30
65,29
66,29
67,29
68,28
69,29
70,29
71,29
72,30
73,30
74,30
75,29
76,29
77,29
78,28
79,28
80,28
81,28
82,28
83,28
84,28
85,28
86,27
87,28
88,27
89,28
90,27
91,27
92,27
93,27
94,27
95,27
96,27
97,26
98,25
99,28
100,122
101,246
102,251
103,263
104,207
105,47
106,41
107,146
108,226
109,216
110,162
111,288
112,276
113,175
114,36
115,26
116,33
117,94
118,305
119,410
120,476
121,500
122,506
123,517
124,518
125,499
126,462
127,357
128,354
129,565
130,579
131,569
132,514
133,277
134,382
135,410
136,402
137,345
138,211
139,140
140,161
141,186
142,223
143,201
144,207
145,39
146,30
147,29
148,30
149,32
150,35
151,37
152,39
153,40
154,44
155,41
156,40
157,41
158,48
159,107
160,152
161,171
162,195
163,209
164,243
165,276
166,294
167,299
168,304
169,320
170,334
171,344
172,355
173,365
174,389
175,431
176,436
177,433
178,410
179,381
180,336
181,268
182,333
183,333
184,215
185,136
186,160
187,169
188,42
189,556
190,591
191,604
192,612
193,618
194,621
195,622
196,622
197,622
198,621
199,621
